,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,agent9,agent10,agent11,agent12,agent13,agent14,agent15,agent16,agent17,agent18,agent19,agent20,agent21,agent22,agent23,agent24,agent25,agent26,agent27,agent28,agent29,agent30,agent31,agent32,agent33,agent34,agent35,agent36,agent37,agent38,agent39,agent40,agent41,agent42,agent43,agent44,agent45,agent46,agent47,agent48,agent49,agent50
ep1,16.0,5.0,13.0,14.0,9.0,9.0,13.0,7.0,5.0,10.0,9.0,7.0,10.0,13.0,10.0,8.0,7.0,14.0,11.0,9.0,9.0,14.0,8.0,7.0,9.0,6.0,14.0,9.0,7.0,9.0,12.0,10.0,5.0,13.0,9.0,12.0,7.0,9.0,11.0,10.0,10.0,6.0,8.0,14.0,12.0,15.0,7.0,8.0,17.0,10.0
ep2,7.0,10.0,5.0,10.0,12.0,7.0,10.0,9.0,6.0,11.0,14.0,16.0,7.0,11.0,7.0,7.0,19.0,5.0,7.0,19.0,7.0,9.0,9.0,5.0,7.0,8.0,9.0,9.0,15.0,12.0,17.0,15.0,11.0,11.0,11.0,11.0,5.0,11.0,8.0,13.0,9.0,20.0,15.0,13.0,13.0,7.0,7.0,16.0,18.0,6.0
ep3,6.0,9.0,11.0,17.0,12.0,11.0,13.0,6.0,9.0,14.0,7.0,9.0,10.0,5.0,11.0,7.0,10.0,5.0,5.0,13.0,10.0,11.0,5.0,9.0,10.0,5.0,15.0,9.0,11.0,11.0,16.0,7.0,7.0,7.0,15.0,10.0,17.0,10.0,7.0,13.0,8.0,10.0,12.0,6.0,10.0,8.0,10.0,9.0,16.0,9.0
ep4,10.0,10.0,12.0,16.0,11.0,15.0,10.0,9.0,7.0,5.0,10.0,8.0,10.0,8.0,11.0,10.0,11.0,10.0,13.0,8.0,8.0,6.0,7.0,12.0,14.0,8.0,11.0,9.0,5.0,6.0,6.0,9.0,9.0,11.0,14.0,8.0,17.0,12.0,9.0,7.0,9.0,10.0,7.0,14.0,12.0,5.0,11.0,10.0,11.0,11.0
ep5,10.0,6.0,7.0,7.0,5.0,12.0,16.0,9.0,11.0,8.0,13.0,7.0,7.0,17.0,11.0,8.0,7.0,5.0,13.0,6.0,13.0,6.0,15.0,14.0,9.0,15.0,12.0,10.0,6.0,9.0,8.0,11.0,8.0,5.0,10.0,5.0,16.0,7.0,12.0,14.0,8.0,17.0,11.0,9.0,14.0,5.0,12.0,9.0,7.0,5.0
ep6,10.0,13.0,13.0,9.0,12.0,10.0,8.0,8.0,14.0,9.0,13.0,11.0,9.0,14.0,9.0,12.0,13.0,14.0,8.0,9.0,11.0,7.0,5.0,11.0,9.0,6.0,15.0,14.0,9.0,11.0,9.0,15.0,8.0,7.0,7.0,15.0,9.0,8.0,7.0,12.0,14.0,16.0,10.0,5.0,10.0,11.0,11.0,9.0,10.0,15.0
ep7,19.0,13.0,7.0,13.0,10.0,15.0,7.0,12.0,9.0,9.0,12.0,11.0,17.0,18.0,7.0,11.0,6.0,14.0,12.0,5.0,10.0,7.0,7.0,5.0,10.0,6.0,10.0,18.0,13.0,7.0,12.0,7.0,5.0,7.0,5.0,9.0,8.0,10.0,9.0,5.0,9.0,5.0,7.0,9.0,12.0,12.0,5.0,5.0,10.0,11.0
ep8,13.0,14.0,7.0,11.0,7.0,13.0,12.0,5.0,10.0,13.0,8.0,11.0,6.0,12.0,10.0,7.0,9.0,5.0,10.0,10.0,9.0,7.0,10.0,10.0,18.0,7.0,10.0,9.0,11.0,11.0,13.0,9.0,11.0,5.0,9.0,16.0,8.0,7.0,17.0,13.0,5.0,14.0,10.0,6.0,11.0,12.0,11.0,9.0,5.0,12.0
ep9,14.0,7.0,8.0,5.0,9.0,7.0,17.0,17.0,7.0,14.0,9.0,6.0,12.0,10.0,10.0,6.0,10.0,5.0,17.0,9.0,11.0,10.0,9.0,7.0,9.0,12.0,15.0,7.0,13.0,13.0,11.0,14.0,9.0,7.0,7.0,11.0,18.0,5.0,9.0,10.0,10.0,6.0,11.0,13.0,15.0,10.0,10.0,13.0,7.0,13.0
ep10,11.0,16.0,10.0,11.0,5.0,12.0,9.0,11.0,13.0,13.0,17.0,6.0,10.0,7.0,20.0,8.0,7.0,10.0,7.0,11.0,9.0,9.0,11.0,10.0,12.0,12.0,5.0,14.0,8.0,15.0,11.0,10.0,9.0,7.0,7.0,9.0,7.0,17.0,12.0,14.0,5.0,17.0,6.0,13.0,5.0,6.0,10.0,8.0,7.0,8.0
